Source,Label,Content
,1,"The Philippines's Commission's Elections (COMELEC) HAS PASSED A RESOLUTION REQUIRING TWO SEPARATE TESTS FOR ALL 2022 PRESIDENTIAL AND VICE PRESIDENTIAL CANDIDATES. Comelec Spokesperson James Jimenez Told The Adobo Chronicles That As Part of It Disqualification And Nuisance Candidate Rules, The Poll Body Will Require The Candidates To Take A Drug Test And An I.Q. test. Those Who Fail The Drug Test Will Automatically Be Disqualified From Running And Those Who Fail The I.Q. Test Will Be Declared Nuisance Candidates. So far, Presidential Candidates Panfilo Lacson and Bongbong Marcos, and VP Candidate Tito Sotto Have Taken the Drug Test and Have All Tested Negative. THE DEADLINE FOR CANDIDATES TO TAKE THE DRUG AND I.Q. TESTS IS NOVEMBER 30. FAILURE TO DO SO WILL ALSO MEAN AUTOMATIC DISQUALIFICATION FROM RUNNING IN THE 2022 ELECTIONS."
,1,"He Shed Tears When He Accepted The Nomination To Be Leni Robredoâ € ™ s Vice Presidential Running Mate. He did it again, this time because he was hurt by Robredoâ € ™ s recent public comment. Senator Kiko Pangilinan Could not Hold Back Tears When He Heard Robredoâ € ™ s Comment That She Is Willing To Work With Vice Presidential Aspirant Sara Duterte IF Both of Them Get Elected, Duterte Is The VP Running Mate of Former Senator Bongbong Marcos. â € œIt HURTS WHEN AT THIS EARLY STAGE OF THE CAMPAIGN, MAâ € ™ am LENI IS ALREADY DROPPING ME LIKE A HOT POTATO â € Pangilin Told the Adobo Chronicles. â € œShe Should Have And Least Pretended That She Was Confident That Our Tandem Is Sure To Win In The 2022 Elections, â € He Added. WHATEVER HAPPENED TO GMA NEWSâ € ™ Meme of â € No Leaveâ € (No One Left Behind)?"
,1,"NEVER MIND THAT SHE IS A U.S. citizen. RAPPLER CEO AND NOBEL PEACE PRIZE AWARDEE MARIA RESSA IS REPORTEDLY FILING FOR POLITICAL ASYLUM IN THE UNITED STATES. She Left Manila on November 2. Sources Tell The Adobo Chronicles That Seeking Political Asylum Is R R R R R RESSIâ € ™ s Way Of Escaping A Possible Jail Term If The Courts Confirm Her Previous Lower Court Conviction for Cyber ??Libel Filed by A Private Individual. Her Conviction is under Appeal. RESSA COULD ALSO ESCAPE POSSIBLE CONVICTION FOR TAX EVASION CHARGES SHE IS FACING. Since Rodrigo Duterte assumed the presidency, RESSA AND HER ONLINE OUTFIT HAVE BEEN VERY CRITICAL OF THE GOVERNMENT, BLOATING NUMBERS OF EXTRA-JUDICIAL KILLINGS IN CONNECTION WITH THE DRUG WAR. She has also accused the Government of Weaponizing The Law to Curtail Her Press Freedom. In Addition, She Has Maintained That Social Media Has Ambushed The Journalistsâ € ™ Role in Reporting The News. She has said MANY TIMES THAT IT WAS TIME â € to take back the internet.â € we asked our sources What was the turning point in ressaâ € ™ s decision to seek asylum, and they said that it was the fact that her Own Countrymen Think She Does Not Deserve The Nobel Prize. An Online Petition That Gathered Close To 150,000 Signatures Before It Was Taken Down by Change.org, Is Asking That She Be Stripped Of The Nobel Prize. A SECOND PETITION HAS GATHERED OVER 30,000 SIGNATURES AS OF PRESS TIME. A Random Street Survey We Conducted Shows That Majority of Filipinos Support Her Seeking Political Asylum In The U.S. â € good riddance, â € said MANY."
,1,"Vice President and 2022 Presidential Aspirant Leni Robredo Said That Drug Tests Should Be â € Random And Unannounced.â € She Was Obviously Reacting To A Voluntary Drug Taken by Presidential Candidate Frontrunner Bongbong Marcos In What Many Believe Was A Response To President Rodrigo Duterteâ € ™ s Earlier Statement That One of the Presidential Candidates is Using Cocaine. Robredo Told The Adobo Chronicles That Presidential And Other Candidates Should Be Tested For Drugs While They Are Sleeping To Avoid Possible Manipulation and Circumvention of the Tests and Results. Robredo Herself Has Not Taken A Drug Test, Unlike Most Other Presidential Candidates Who Have Voluntarily Taken It."
https://newsinfo.inquirer.net/1520596/ilocos-sur-scraps-covid-19-swab-test-requirement-for-fully-vaccinated-returning-residents,0,"Ilocos Sur Has Eased Its Border Protocols for Fully Vaccinated Residents and Will No Longer Require A Negative Covid-19 Test Beginning December 1, Governor Ryan Luis Singson Announced On Saturday, November 27. In His Local Radio Show, Singson Said That Returning Residents WOULD ONLY BE ASKED TO SHOW THEIR COVID-19 VACCINATION CARD OR DOCUMENT. Singson Said That The Province is also Dropping The Mandatory 14-Day Quarantine for the Fully Vaccinated Returning Residents. Unvaccinated and Partially Vaccinated Individuals Traveling to Ilocos Sur, However, Would Be Still Be Required to Present A Covid-19 Test Result and Undergo A Full Quarantine, Singson Clarified. Singson Said That The Provincial Government Would Issue More Detailed Guidelines Regarding The Eased Travel Rules. â € œThis IS OUR WAY TO ENCOURAGE INDIVIDUALS TO GET VACCINATED, â € Singson said."
https://globalnation.inquirer.net/200619/china-insists-on-ph-commitment-to-remove-navy-outpost-at-ayungin-shoal,0,"The Chinese Government is Demanding That The Philippines â € œHonor Its Commitmentâ € And Remove The Grounded Ship That Serves As An Outpost For Its Filipino Troops and Sellas (Second Thomas) Shoal In The West Philippine Sea. â € œrenâ € ™ Ai Jiao Is Part of Chinaâ € ™ s Nansha Qundao. China Demands That The Philippine Side Honor Its Commitment and Remove Its Grounded Vessel On Renâ € ™ Ai Jiao. This Position Remains Unchanged, â € said Chinese Foreign Ministry Spokesperson Zhao Lijian, IN A Press Conference in Beijing Wednesday. China Calls Crykin Shoal, OR The Second Thomas Shoal, AS Renâ € ™ Ai Jiao, and the Spratly Islands AS Nansha Qundao. Zhao Was Apparently Referring To BRP Sierra Madre, A Transport Ship Intentionally Grounded In 1999 to Serve As An Outpost Of The Philippine Navy. According to Zhao, The Delivery of Food and Other Supplies to Filipino Troops Aboard Brp Sierra Madre â € œis A Provisional, Special Arrangement Out Of Humanitarian Considerations.â € â € œThe China Coast Guard Ship Patrolled And Performed Its Duty In The Water Area In Accordance with Law and Monitored from Start to End The Philippine Side's Supply Delivery Activities, â € THE CHINESE OFFICIAL ADDED. Defense Secretary Delfin Lorenzana Had Said That The Philippine Boats Harassed by China On Their Way To Deliver Supplies to Filipino Troops Harassed Again But Were Able To Complete Their Mission, Reaching Shoal On Tuesday. He said the resupply boats arrived at The BRP Sierra Madre in Augudar Around 11 a.m. â € œWithout Any Untoard Incidentâ € But Went Through Another Form Of â € œIntimidation and Harassmentâ € by the China Coast Guard. Lorenzana Said There Was A China Coast Guard Ship In The Vicinity That Sent A Rubber Boat With Three Persons Near The Sierra Madre While Filipino Boats Were Unloading and Took Photos and Videos. The Defense Official Said He Told The Chinese Ambassador â € œThat We Consider Thes ACTS AS A FORM OF INTIMIDATION AND HARASSMENT.â € The Resupply Mission Was Aborted Last Tuesday, Nov. 16, AFTER CHINESE VESSELS BLOCKED AND FIRED WATER CANNONS AT THE PHILIPPINE BOATS AS THESE APPROACHED THE SHOAL, A LOW-TIDE ELEVATION INSIDE THE Philippinesâ € ™ EXCLUSIVE ECONOMIC ZONE (EEZ). No One Was Hurt In The Incident Boats Had To Return To Mainland Palawan After One Of Them Suffered Outrigger Damage As A Result Of The Water Cannon Attack."
https://newsinfo.inquirer.net/1520606/govt-discussing-expansion-of-temporary-travel-ban-amid-omicron-variant-threat?utm_medium=Social&utm_source=Facebook#Echobox=1637988481,0,"The Government is Discussing Whether More Nations Should Be Included in The Countryâ € ™ s Temporary Ban List Due To The Threat Of The New South Africa Covid-19 Variant Called Omicron. Advisers From The World Health Organization Have Recommended To Tag B.1.1.529, Given A Greek Name Omicron, AS A Variant Of Concern. During the always ready briefing, Department of Health Director Dr. Beverly Ho Was Asked If The Agency Is Recommending To Include Hong Kong In The Travel Ban List AS TWO CASES OF OMICRON VARIANT WER DETECTED THERE. â € œMay Ongoing PO discussion Now and expect you to be â € â € â € ""There will be the Developments Within The Day OR by Tomorrow about Possible Expansion Po lists but of course. â € Â € ~ We will get the data in different parts of the world today, it appears â € ~ DO if they also have detected, â € Ho shared. On Friday, The Philippines Suspended Flights From South Africa, Botswana, Namibia, Zimbabwe, Lesotho, Eswatini, and Mozambique Until December 15 to Prevent Possible Entry of the Omicron Variant. The said countries have local cases or â € œwith The Likelihood of Occurrences of the B.1.1.529 Variant, â € Cabinet Secretary and Acting Presidential Spokesperson Karlo Nograles Said."
https://www.rappler.com/nation/lawyers-challenge-covid-19-vaccination-policy-northern-mindanao,0,"THIS IS IN DIRECT CONFLICT WITH THE DOLEâ € ™ s Order That VACCINATION IS NOT A REQUIREMENT FOR WORK, 'SAYS Lawyer Nicandro Several Lawyers and The Associated Labor Unions-Trade Union Congress of the Philippines (Alu-tucp) in Northern Mindanao Have Questioned A GOVERNMENT MOVE TO REQUIRE COVID-19 VACCINATION CARDS FROM CITIZENS, ARGUING THAT SUCH POLICY CANNOT BE BASED ON WHAT THE GOVERNMENT'S TASK FORCE SAYS. â € œThe Iatf (Inter-Agency Task Force) is an advisory council. WHAT SHOULD BE DONE IS FOR CONGRESS TO PASS A LAW TO MAKE IT CLEAR, â € said Lawyer Nicandro Borja, Alu-Tucp Director for Operations in Northern Mindanao. They Raised The Issue As The Department of Labor and Employment (Dole) In Northern Mindanao Announced That Employers In The Region Would Be Allowed Beginning December 1 To Require Their Workers To Get Inoculated OR, IF NOT, ASK THEM TO TAKE RT-PCR TESTS BEFORE They can go to their workplaces. In Iligan City, Former City Prosecutor Samson Dajao Challenged A Similar Move by Mayor Celso Regencia Who Issued an Executive Order That Required Vaccination Cards From Residents Who Are Going Out. Dajao, WHO REPRESENTS A GROUP, FILED A PETITION BEFORE A REGIONAL COURT, SEEKING THE SUSPENSION OF REGENCY OF REGENCIA'S ORDER THAT TOOK EFFECT AS EARLY AS NOVEMBER 16, REPORTED THE MINDANA GOLD STAR DAILY. Based on Regencia's Order, Even Public Utility Vehicle Drivers and Market Vendors Cannot Work, People Cannot Commute, and Neither Can They Transact Business With The Government in the City Without Proof of Vaccination."
https://www.rappler.com/nation/senate-threatens-send-pharmally-executives-pasay-city-jail-missing-documents-not-found,0,"Blue Ribbon Committee Chairman Richard Gordon Allows Pharmally's Mohit Dargani And Linconn Ong To Leave The Senate Premises, Escorted, To Retrieve Their Firm's Financial Documents by Saturday, November 27 Senators Are Dead Sending to Jail Two Executives Of The Government's Biggest Pandemic Supplier, Pharmally Pharmaceutical Corporation, If They Cannot Produce by Saturday, November 27, The Supposedly Missing Documents on the Firmâ € ™ s Financial Dealings. On Friday, November 26, The Senate Blue Ribbon Committee Agreed To Move Pharmally Corporate Secretary and Treasurer Mohit Dargani And Director Linconn Ong From Senate Detention to the Pasay City Jail. This Came After Senators Got Frustrated When Dargani And Ong Requested They Be Allowed to Speak With Each Other, Their Lawyers, and Pharmallyâ € ™ s Accountant So They Could Figure Out The Location Of The Documents. The Documents Were Apparently Left In Pharmallyâ € ™ s Old Office in Taguig, But The Premises Have Long Been Vacated by The Firm."
https://www.rappler.com/business/business-group-hits-excessive-tacloban-port-tariffs,0,"The Philippine Chamber of Commerce and Industry Tacloban-Leyte Says 'The Exorbitant Hike in Arrastre Rates Is Anti-People As It Will Cause Of Commodities' in Eastern Visayas A Business Group Has Called For A Rollback Of What It Called The ""Anti -People ""Port Tariff Hike in Tacloban That Would Cause A Spike In The Prices of Commodities and Ultimately Hurt Eastern Visayas Consumers. The Philippine Chamber of Commerce and Industry (PCCI) Tacloban-Leyte Made The Statement As It Lamented The 300% In Rates In The Port. DOMESTIC AND FOREIGN CARGO-HANDLING RATES WERE INCREASED FROM P118.05 AND P108.35, RESPECTIVELY, TO P543.00 UNDER THE NEW TARIFF SCHEME. â € œThe Exorbitant Hike in Arrastre Rates Is Anti-People As It Will Cause Price Increase Of Commodities In The Region, Thus Hurting The Local Economy And Ultimately, The Consuming Public, Not To Mention That We Are Still Reeling From The Effects Of The Covid -19 Pandemic, â €cci Tacloban-Leyte said. THE GROUP URGED THE PHILIPPINE PORTS AUTHORITY (PPA) TO IMMEDIATELY ROLL BACK THE TARIFF RATES. The Group Made The Call After The PPA Classified Tacloban Port In Leyte As A Tier 3 Port, From Tier 5. The Uniform Tariff Rates For Tier 3 Ports â € ""Covering General Cargo, Consumer Goods, Bulk and Containerized Cargo, and Roll-On / Roll-off terminal, porterage, and line handling fees â € ""Are prescribed under PPA Administrative Order No. 10-2019. Tacloban City, The Regional Capital of Eastern Visayas, Serves AS A Transshipment Hub of Commodities in the Region."
